# {
#     "changing_threshold": 0.2,
#     "command": "/g100/home/userexternal/xdhori00/.conda/envs/majiq/bin/voila tsv --threshold 0.2 -j 30 output/splicegraph.sql output/oocyte-cumulus.deltapsi.voila -f ../output_tsv/PRJNA649934_voila.tsv",
#     "group_sizes": {
#         "cumulus": 4,
#         "oocyte": 6
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.4.dev102+g2cae1507"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	oocyte_mean_psi	cumulus_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
TIMM8B	ENSG00000150779.12	ENSG00000150779.12:s:112086640-112086798	-0.2285;0.2285	7.227e-01;7.227e-01	2.669e-06;2.669e-06	0.2594;0.7406	0.0420;0.9580	s|1e1.1o1|1e2.1o2	2	3	0;0	chr11	-	112086310-112086640;112085462-112086640	112084800-112085462;112085967-112086310;112086640-112086798		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A112086798-112084800
TIMM8B	ENSG00000150779.12	ENSG00000150779.12:t:112084800-112085462	0.3493;-0.3362;-0.0000	9.997e-01;9.997e-01;5.490e-21	2.601e-20;0.000e+00;9.996e-01	0.5760;0.4059;0.0119	0.9158;0.0812;0.0025	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0;0;0	chr11	-	112085462-112086640;112085462-112085978;112085462-112085967	112084800-112085462;112085967-112086310;112086640-112086798		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A112086798-112084800
CACNA2D1	ENSG00000153956.17	ENSG00000153956.17:s:82084769-82084900	-0.0005;-0.9212;0.9671	5.677e-21;1.000e+00;1.000e+00	9.755e-01;0.000e+00;1.645e-21	0.0389;0.9369;0.0233	0.0036;0.0156;0.9805	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;1;0	chr7	-	82084650-82084769;82076122-82084769;82066524-82084769	na-82076122;na-82084650;82066455-82066524;82084769-82084900		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A82084900-82066455
CACNA2D1	ENSG00000153956.17	ENSG00000153956.17:s:82136635-82136676	-0.2818;-0.0959;-0.0001;0.4412	9.990e-01;3.920e-20;2.003e-09;1.000e+00	4.152e-09;3.335e-02;9.921e-01;2.928e-13	0.2997;0.1144;0.0394;0.5432	0.0037;0.0037;0.0037;0.9889	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	1;1;1;0	chr7	-	82136390-82136635;82124849-82136635;82123745-82136635;82117173-82136635	na-82124849;na-82136390;82117044-82117173;82123542-82123745;82136635-82136676		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A82136676-82117044
CACNA2D1	ENSG00000153956.17	ENSG00000153956.17:s:82335135-82335251	-0.7593;0.7593	1.000e+00;1.000e+00	0.000e+00;3.545e-18	0.9494;0.0506	0.2081;0.7919	s|1e1.1o1|1e2.1o1	2	3	1;0	chr7	-	82300151-82335135;82170609-82335135	na-82300151;82170550-82170609;82335135-82335251		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A82335251-82170550
CACNA2D1	ENSG00000153956.17	ENSG00000153956.17:t:82170550-82170609	0.9733;-0.9230;0.0000;0.0000;0.0000	1.000e+00;1.000e+00;1.056e-09;1.056e-09;1.056e-09	1.520e-21;0.000e+00;9.988e-01;9.988e-01;9.980e-01	0.0024;0.9313;0.0148;0.0141;0.0361	0.9887;0.0028;0.0028;0.0028;0.0028	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	5	6	0;1;1;1;1	chr7	-	82170609-82335135;82170609-82180742;82170609-82180314;82170609-82179981;82170609-82178401	82170550-82170609;82178401-82178473;82179981-na;82180314-na;82180742-na;82335135-82335251		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A82335251-82170550
CACNA2D1	ENSG00000153956.17	ENSG00000153956.17:t:82349568-82349649	0.9138;-0.9176	1.000e+00;1.000e+00	2.927e-21;0.000e+00	0.0824;0.9176	0.9934;0.0066	t|1e1.1o1|1e2.1o1	2	3	0;1	chr7	-	82349649-82443365;82349649-82418103	82349568-82349649;82418103-na;82443365-82443956		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A82443956-82349568
NDUFAF6	ENSG00000156170.14	ENSG00000156170.14:s:95031995-95032098	0.1921;0.0525;0.0000;-0.2699	4.768e-01;3.652e-03;5.487e-21;8.555e-01	7.706e-03;2.368e-01;1.000e+00;1.361e-04	0.4806;0.0838;0.0008;0.4455	0.6733;0.1522;0.0013;0.1632	s|1e3.1o1|2e1.1o1|2e2.1o1|2e3.1o1	4	4	0;0;0;0	chr8	+	95032094-95035454;95032098-95034008;95032098-95034622;95032098-95035454	95031995-95032098;95034008-95034122;95034622-95034723;95035454-95035576		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A95035576-95031995
NDUFAF6	ENSG00000156170.14	ENSG00000156170.14:s:95035454-95035576	-0.3587;-0.2767;0.0000;0.6555	9.961e-01;8.757e-01;5.487e-21;1.000e+00	1.099e-08;3.330e-05;1.000e+00;1.398e-20	0.3885;0.3481;0.0011;0.2621	0.0255;0.0706;0.0018;0.9034	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1	4	4	0;0;0;0	chr8	+	95035576-95036302;95035576-95036371;95035576-95040706;95035576-95041570	95035454-95035576;95036302-95036494;95040706-95040927;95041570-95041626		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A95041626-95035454
NDUFAF6	ENSG00000156170.14	ENSG00000156170.14:t:95035454-95035576	0.0000;0.2092;-0.2578;0.0296;0.0000	5.492e-21;5.567e-01;8.150e-01;1.460e-03;5.487e-21	9.994e-01;4.772e-03;2.455e-04;3.704e-01;1.000e+00	0.0102;0.4634;0.4342;0.0959;0.0006	0.0068;0.6891;0.1619;0.1409;0.0011	t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o1	5	5	0;0;0;0;0	chr8	+	95025205-95035454;95032094-95035454;95032098-95035454;95034122-95035454;95034723-95035454	95024989-95025205;95031995-95032098;95034008-95034122;95034622-95034723;95035454-95035576		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A95035576-95024989
NDUFAF6	ENSG00000156170.14	ENSG00000156170.14:t:95041570-95041626	0.6050;-0.6056;0.0000	1.000e+00;1.000e+00;5.488e-21	2.831e-19;0.000e+00;9.999e-01	0.3334;0.6649;0.0019	0.9181;0.0793;0.0025	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr8	+	95035576-95041570;95036494-95041570;95040927-95041570	95035454-95035576;95036302-95036494;95040706-95040927;95041570-95041626		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A95041626-95035454
PEX11A	ENSG00000166821.9	ENSG00000166821.9:s:89690577-89690783	-0.3591;0.3545;0.0000	9.726e-01;9.697e-01;3.490e-09	3.262e-06;2.829e-06;9.951e-01	0.9903;0.0049;0.0049	0.6070;0.3882;0.0049	s|1e1.1o1|1e2.1o2|1e3.1o1	3	4	0;0;0	chr15	-	89686546-89690577;89683948-89690577;89681540-89690577	89681270-89681540;89683080-89683948;89686431-89686546;89690577-89690783		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A89690783-89681270
PEX11A	ENSG00000166821.9	ENSG00000166821.9:t:89683080-89683948	0.2468;-0.2683;0.0019	7.571e-01;8.379e-01;4.758e-07	1.900e-04;1.666e-04;9.087e-01	0.0020;0.9828;0.0150	0.2779;0.7025;0.0243	t|1e1.1o1|1e2.1o1|2e2.1o1	3	3	0;0;0	chr15	-	89683948-89690577;89683948-89686431;89683855-89686431	89683080-89683948;89686431-89686546;89690577-89690783		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A89690783-89683080
FAM161A	ENSG00000170264.13	ENSG00000170264.13:s:61842122-61842360	0.2015;-0.2015	5.320e-01;5.320e-01	9.519e-03;9.519e-03	0.6697;0.3303	0.8938;0.1062	s|1e1.1o2|1e1.2o2	2	2	0;0	chr2	-	61840581-61842122;61840525-61842122	61839421-61840581;61842122-61842360		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A61842360-61839421
TCAIM	ENSG00000179152.20	ENSG00000179152.20:t:44354739-44354811	0.3128;-0.3128	8.287e-01;8.287e-01	1.485e-03;1.485e-03	0.1977;0.8023	0.5368;0.4632	t|1e1.1o1|1e2.1o1	2	3	0;0	chr3	+	44338319-44354739;44338834-44354739	44338119-44338319;44338452-44338834;44354739-44354811		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A44354811-44338119
MORF4L1	ENSG00000185787.15	ENSG00000185787.15:s:78872814-78873218	0.4094;0.0000;0.0000;-0.2956;-0.0858	1.000e+00;5.487e-21;5.487e-21;9.995e-01;3.538e-20	2.089e-20;1.000e+00;1.000e+00;0.000e+00;9.505e-02	0.5741;0.0011;0.0002;0.3159;0.1081	0.9770;0.0018;0.0007;0.0079;0.0126	s|1e1.1o1|1e2.1o1|1e3.1o2|2e1.1o1|3e1.1o1	5	4	0;0;0;0;0	chr15	+	78873057-78878213;78873057-78880512;78873057-78886141;78873118-78878213;78873218-78878213	78872814-78873218;78878213-78878259;78880512-78880579;78886141-78886395		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A78886395-78872814
MORF4L1	ENSG00000185787.15	ENSG00000185787.15:t:78878213-78878259	0.0000;0.0000;0.4129;-0.2936;-0.0846;0.0000;0.0000;0.0000;0.0000;0.0000	5.487e-21;5.487e-21;1.000e+00;9.992e-01;3.494e-20;5.487e-21;5.487e-21;5.487e-21;5.487e-21;5.487e-21	1.000e+00;1.000e+00;2.078e-20;0.000e+00;1.029e-01;1.000e+00;1.000e+00;1.000e+00;1.000e+00;1.000e+00	0.0001;0.0011;0.5710;0.3131;0.1074;0.0001;0.0051;0.0001;0.0001;0.0001	0.0001;0.0001;0.9694;0.0078;0.0124;0.0001;0.0019;0.0089;0.0001;0.0001	t|1e1.1o1|1e2.1o1|1e3.1o3|1e3.2o3|1e3.3o3|1e4.1o2|1e4.2o2|1e5.1o1|1e6.1o1|1e7.1o1	10	8	0;0;0;0;0;0;0;1;0;0	chr15	+	78840675-78878213;78848081-78878213;78873057-78878213;78873118-78878213;78873218-78878213;78873839-78878213;78873920-78878213;78875371-78878213;78876586-78878213;78877960-78878213	na-78875371;78840552-78840675;78847667-78848081;78872814-78873218;78873723-78873920;78876492-78876586;78877765-78877960;78878213-78878259		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A78878259-78840552
LRCH3	ENSG00000186001.14	ENSG00000186001.14:t:197814908-197815052	0.8507;-0.0761;-0.7428	1.000e+00;4.061e-05;1.000e+00	5.806e-21;1.683e-01;0.000e+00	0.1448;0.1066;0.7518	0.9911;0.0045;0.0045	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;1;1	chr3	+	197791540-197814908;197800688-197814908;197803855-197814908	na-197800688;na-197803855;197791226-197791540;197814908-197815052		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A197815052-197791226
RNF220	ENSG00000187147.18	ENSG00000187147.18:s:44635545-44635666	0.2739;-0.2739	7.540e-01;7.540e-01	3.157e-03;3.157e-03	0.4652;0.5348	0.7659;0.2341	s|1e1.1o1|2e1.1o1	2	2	0;0	chr1	+	44635588-44636030;44635666-44636030	44635545-44635666;44636030-44636495		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A44636495-44635545
FHIT	ENSG00000189283.10	ENSG00000189283.10:s:59749702-59752321	-0.3883;0.3883	9.694e-01;9.694e-01	1.969e-05;1.969e-05	0.7847;0.2153	0.3911;0.6089	s|1e1.1o2|1e1.2o2	2	2	0;0	chr3	-	59749579-59752221;59749568-59752221	59747277-59749579;59749702-59752321		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A59752321-59747277
FHIT	ENSG00000189283.10	ENSG00000189283.10:s:60011371-60011400	-0.2620;-0.1708;0.4602	9.812e-01;3.220e-01;1.000e+00	1.402e-07;6.373e-03;4.028e-10	0.2825;0.2186;0.4974	0.0055;0.0389;0.9556	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;1;0	chr3	-	59984767-60011371;59983745-60011371;59922414-60011371	na-59983745;59922346-59922414;59984722-59984767;60011371-60011400		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A60011400-59922346
FHIT	ENSG00000189283.10	ENSG00000189283.10:s:61042047-61042099	-0.1133;-0.6589;0.8022	3.527e-02;1.000e+00;1.000e+00	4.295e-02;0.000e+00;1.921e-20	0.1376;0.6781;0.1824	0.0060;0.0224;0.9720	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;1;0	chr3	-	60979304-61042047;60888498-61042047;60822011-61042047	na-60888498;na-60979304;60821919-60822011;61042047-61042099		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A61042099-60821919
FHIT	ENSG00000189283.10	ENSG00000189283.10:t:60535810-60536979	0.9736;0.0000;-0.9321;-0.0123	1.000e+00;3.168e-10;1.000e+00;2.568e-10	1.514e-21;9.987e-01;0.000e+00;6.969e-01	0.0092;0.0002;0.9394;0.0500	0.9899;0.0034;0.0034;0.0034	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;1;1	chr3	-	60536979-60821919;60536979-60765524;60536979-60648599;60536979-60613189	60535810-60536979;60613189-na;60648599-na;60765524-60765563;60821919-60822011		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A60822011-60535810
FHIT	ENSG00000189283.10	ENSG00000189283.10:t:61042047-61042099	0.8104;-0.8104	1.000e+00;1.000e+00	7.073e-21;0.000e+00	0.1849;0.8151	0.9930;0.0070	t|1e1.1o1|1e2.1o1	2	3	0;1	chr3	-	61042099-61200617;61042099-61068178	61042047-61042099;61068178-na;61200617-61200665		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A61200665-61042047
ZNF544	ENSG00000198131.15	ENSG00000198131.15:s:58246301-58246427	-0.2159;0.1999;0.0010	5.862e-01;5.158e-01;2.169e-09	6.068e-03;9.533e-03;9.570e-01	0.8867;0.1099;0.0041	0.6666;0.3101;0.0166	s|1e1.1o2|1e1.2o2|1e2.2o2	3	3	0;0;0	chr19	+	58246427-58246711;58246427-58246746;58246427-58260851	58246301-58246427;58246711-58246816;58260365-58264092		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A58264092-58246301
MACO1	ENSG00000204178.11	ENSG00000204178.11:t:25484116-25484274	-0.0116;-0.3131;0.3390;0.0000	1.871e-04;9.022e-01;9.673e-01;5.289e-10	6.464e-01;8.129e-05;9.261e-08;9.985e-01	0.0450;0.9498;0.0026;0.0026	0.0032;0.6321;0.3616;0.0032	t|1e1.1o1|1e2.1o1|1e3.1o1|2e2.1o1	4	4	0;0;1;0	chr1	+	25454382-25484116;25458892-25484116;25468493-25484116;25458892-25484127	na-25468493;25454259-25454382;25458391-25458892;25484116-25484274		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A25484274-25454259
ALG3	ENSG00000214160.10	ENSG00000214160.10:s:184248745-184248962	-0.5282;0.0000;-0.0000;0.5108;0.0001	1.000e+00;5.493e-21;5.488e-21;9.999e-01;5.523e-21	9.901e-12;9.992e-01;1.000e+00;1.579e-10;9.948e-01	0.7364;0.0016;0.0016;0.2589;0.0016	0.2123;0.0069;0.0011;0.7669;0.0120	s|1e1.1o1|1e2.1o1|1e3.1o1|2e1.1o1|2e2.1o1	5	4	0;0;0;0;0	chr3	-	184245812-184248782;184245615-184248782;184245358-184248782;184245812-184248745;184245615-184248745	184245067-184245358;184245468-184245615;184245713-184245812;184248745-184248962		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A184248962-184245067
ALG3	ENSG00000214160.10	ENSG00000214160.10:t:184245713-184245812	-0.0600;-0.0000;-0.4504;0.5430	2.643e-03;5.488e-21;9.990e-01;1.000e+00	2.546e-01;1.000e+00;6.045e-09;2.803e-13	0.0945;0.0018;0.6651;0.2283	0.0117;0.0014;0.2155;0.7713	t|1e1.1o2|1e1.2o2|1e2.1o2|1e2.2o2	4	3	0;0;0;0	chr3	-	184245812-184249226;184245812-184248990;184245812-184248782;184245812-184248745	184245713-184245812;184248745-184248962;184248990-184249548		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A184249548-184245713
DUXAP10	ENSG00000244306.11	ENSG00000244306.11:s:19333702-19333813	-0.2200;-0.0013;0.0307;0.1481	6.374e-01;1.248e-04;6.271e-07;8.696e-02	2.266e-03;6.036e-01;4.879e-01;1.128e-03	0.8953;0.0980;0.0030;0.0030	0.6606;0.0998;0.0626;0.1723	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1	4	4	0;0;1;1	chr14	-	19331972-19333702;19331948-19333702;19307111-19333702;19269380-19333702	19268853-19269380;19307021-19307111;19331835-19331972;19333702-19333813		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A19333813-19268853
IQCH-AS1	ENSG00000259673.6	ENSG00000259673.6:s:67521128-67521541	0.2907;0.1580;0.0000;-0.0008;-0.4400	8.702e-01;2.508e-01;9.883e-11;9.821e-11;9.992e-01	1.615e-05;1.705e-02;9.990e-01;9.525e-01;4.666e-11	0.0077;0.0019;0.0245;0.0394;0.9271	0.3320;0.1831;0.0024;0.0024;0.4911	s|1e1.1o1|2e1.1o1|3e2.1o1|4e2.1o1|i	5	3	0;1;1;1;1	chr15	-	67519102-67521519;67519102-67521494;67430124-67521199;67430124-67521128;67521063-67521127	na-67430124;67518386-67519102;67521128-67521541	67521063-67521127	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A67521541-67430114
ENSG00000267645	ENSG00000267645.5	ENSG00000267645.5:s:102668915-102669004	-0.3271;0.3271	9.731e-01;9.731e-01	6.511e-09;6.337e-09	0.9461;0.0539	0.6080;0.3920	s|1e1.1o1|1e2.1o1	2	3	0;1	chr7	-	102667264-102668915;102666163-102668915	102666077-102666163;102667090-102667264;102668915-102669004		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A102669004-102666077
ENSG00000267645	ENSG00000267645.5	ENSG00000267645.5:t:102666077-102666163	0.4724;-0.4724	9.966e-01;9.966e-01	4.093e-07;4.092e-07	0.2213;0.7787	0.6868;0.3132	t|1e1.1o1|1e2.1o1	2	3	1;0	chr7	-	102666163-102668915;102666163-102667090	102666077-102666163;102667090-102667264;102668915-102669004		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A102669004-102666077
ZNF195	ENSG00000005801.18	ENSG00000005801.18:s:3370943-3371147	0.0009;0.0000;0.0000;0.0000;0.0544;0.0000;0.0000;0.2162;0.0000;-0.3378;0.0000;0.0000	2.295e-07;4.217e-10;4.217e-10;4.217e-10;1.669e-02;4.217e-10;4.217e-10;5.859e-01;4.217e-10;8.979e-01;4.217e-10;4.217e-10	9.608e-01;9.996e-01;9.996e-01;9.996e-01;2.344e-01;9.996e-01;9.996e-01;9.145e-03;9.996e-01;4.919e-04;9.996e-01;9.996e-01	0.0008;0.0008;0.0008;0.0008;0.0008;0.0008;0.0008;0.1389;0.0008;0.8532;0.0008;0.0008	0.0131;0.0012;0.0012;0.0012;0.0913;0.0012;0.0012;0.3819;0.0012;0.5068;0.0012;0.0012	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o2|1e6.2o2|1e7.1o1|1e8.1o1|1e9.1o1|1e10.1o1|2e7.1o1	12	11	0;0;0;0;0;0;0;0;0;0;0;0	chr11	-	3369502-3370975;3368855-3370975;3367057-3370975;3363391-3370975;3362602-3370975;3362073-3370975;3362032-3370975;3361889-3370975;3360788-3370975;3360565-3370975;3339822-3370975;3361889-3370943	3339261-3339822;3357927-3360565;3360720-3360788;3361743-3361889;3361976-3362073;3362533-3362831;3363318-3363391;3366691-3367119;3368792-3368855;3369241-3369502;3370943-3371147		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A3371147-3339261
ZNF195	ENSG00000005801.18	ENSG00000005801.18:t:3357927-3360565	-0.2968;0.0000;0.0000;0.1874;0.0572	8.052e-01;5.775e-09;5.775e-09;4.607e-01;1.180e-02	1.158e-03;9.981e-01;9.981e-01;1.753e-02;2.043e-01	0.8723;0.0020;0.0020;0.1211;0.0020	0.5588;0.0030;0.0030;0.3168;0.1155	t|1e1.1o2|1e2.1o1|1e3.1o2|1e4.1o1|1e5.1o1	5	6	0;0;0;0;0	chr11	-	3360565-3370975;3360565-3366691;3360565-3362546;3360565-3361743;3360565-3360720	3357927-3360565;3360720-3360788;3361743-3361889;3362533-3362831;3366691-3367119;3370943-3371147		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A3371147-3357927
VPS41	ENSG00000006715.16	ENSG00000006715.16:t:38817803-38817882	0.2905;-0.2905	8.859e-01;8.859e-01	3.611e-06;3.612e-06	0.6791;0.3209	0.9967;0.0033	t|1e1.1o1|1e2.1o1	2	3	0;1	chr7	-	38817882-38821203;38817882-38818058	38817803-38817882;38818058-na;38821203-38821265		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A38821265-38817803
R3HDM1	ENSG00000048991.17	ENSG00000048991.17:s:135604856-135606676	0.0054;0.2942;-0.3353;0.0002	3.715e-06;8.856e-01;9.491e-01;5.562e-21	7.979e-01;1.745e-04;2.043e-05;9.892e-01	0.0030;0.0443;0.9505;0.0030	0.0312;0.3459;0.6064;0.0095	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr2	+	135605016-135616152;135605016-135616668;135605016-135621494;135605016-135631718	135604856-135606676;135616152-135616193;135616668-135616757;135621494-135621608;135631718-135631777		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A135631777-135604856
R3HDM1	ENSG00000048991.17	ENSG00000048991.17:t:135621494-135621608	-0.0000;-0.0000;-0.2834;0.2839	5.494e-21;5.494e-21;8.753e-01;8.822e-01	9.991e-01;9.991e-01;1.787e-04;1.373e-04	0.0030;0.0030;0.9607;0.0321	0.0021;0.0021;0.6621;0.3339	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr2	+	135531633-135621494;135602708-135621494;135605016-135621494;135616757-135621494	135531455-135531633;135602500-135602708;135604856-135606676;135616668-135616757;135621494-135621608		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A135621608-135531455
TTC17	ENSG00000052841.16	ENSG00000052841.16:s:43444056-43444505	-0.3435;0.3435	9.321e-01;9.321e-01	5.787e-06;5.787e-06	0.9891;0.0109	0.6095;0.3905	s|1e1.1o1|1e2.1o1	2	3	0;0	chr11	+	43444209-43445931;43444209-43448002	43444056-43444505;43445931-43446719;43447584-43448122		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A43448122-43444056
ATP2B1	ENSG00000070961.17	ENSG00000070961.17:t:89655679-89656107	-0.5516;0.5841;-0.0043	1.000e+00;1.000e+00;8.607e-10	1.110e-16;1.852e-19;8.483e-01	0.8622;0.1130;0.0281	0.3078;0.6910;0.0013	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr12	-	89656107-89709219;89656107-89708596;89656107-89662989	89655679-89656107;89662989-89663091;89708596-89708838;89709219-89709366		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A89709366-89655679
CYLD	ENSG00000083799.18	ENSG00000083799.18:s:50742762-50742841	0.0000;0.2256;0.0004;-0.2330	4.230e-10;6.123e-01;2.756e-08;6.403e-01	9.994e-01;4.636e-03;9.837e-01;3.846e-03	0.0016;0.0643;0.0020;0.9291	0.0027;0.3011;0.0134;0.6828	s|1e2.1o2|2e1.1o1|2e2.1o2|2e2.2o2	4	3	0;0;0;0	chr16	+	50742822-50749549;50742841-50744730;50742841-50749549;50742841-50749576	50742762-50742841;50744730-50744866;50749549-50749798		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A50749798-50742762
CYLD	ENSG00000083799.18	ENSG00000083799.18:t:50749549-50749798	0.0000;0.0000;0.0001;-0.2703;0.2642	5.488e-21;5.488e-21;5.533e-21;7.880e-01;7.686e-01	9.999e-01;9.999e-01;9.934e-01;8.289e-04;8.805e-04	0.0012;0.0012;0.0014;0.8467;0.1491	0.0019;0.0019;0.0110;0.5713;0.4148	t|1e1.1o2|1e2.1o2|1e2.2o2|2e2.2o2|2e3.1o1	5	4	0;0;0;0;0	chr16	+	50742124-50749549;50742822-50749549;50742841-50749549;50742841-50749576;50744866-50749576	50742050-50742216;50742762-50742841;50744730-50744866;50749549-50749798		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A50749798-50742050
UGGT2	ENSG00000102595.21	ENSG00000102595.21:s:95986333-95986432	-0.1909;-0.5597;0.7823	4.376e-01;9.997e-01;1.000e+00	1.167e-03;2.528e-08;4.857e-18	0.2143;0.7390;0.0457	0.0068;0.1861;0.8074	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;0;0	chr13	-	95985920-95986333;95985337-95986333;95983864-95986333	na-95985920;95983804-95983864;95984904-95985337;95986333-95986432		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr13%3A95986432-95983804
STX2	ENSG00000111450.15	ENSG00000111450.15:t:130789600-130791977	0.3105;-0.3517;0.0083	8.067e-01;8.815e-01;1.611e-04	1.495e-03;5.031e-04;7.092e-01	0.0867;0.9080;0.0054	0.4262;0.5426;0.0417	t|1e1.1o1|1e2.1o1|2e1.1o1	3	3	0;0;0	chr12	-	130791977-130798525;130791977-130795995;130791916-130798525	130789600-130791977;130795995-130796120;130798393-130798635		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A130798635-130789600
DROSHA	ENSG00000113360.17	ENSG00000113360.17:s:31531990-31532109	-0.4223;0.4223	9.967e-01;9.967e-01	9.681e-09;9.810e-09	0.9929;0.0071	0.5547;0.4453	s|1e1.1o1|1e2.1o1	2	3	0;0	chr5	-	31531525-31531990;31530924-31531990	31530798-31530924;31531450-31531525;31531990-31532109		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A31532109-31530798
DROSHA	ENSG00000113360.17	ENSG00000113360.17:t:31530798-31530924	0.0000;0.2606;-0.2636	5.489e-21;8.261e-01;8.382e-01	9.997e-01;4.558e-06;3.525e-06	0.0025;0.0025;0.9949	0.0029;0.2868;0.7101	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr5	-	31530924-31532114;31530924-31531990;31530924-31531450	31530798-31530924;31531450-31531525;31531990-31532109;31532114-31532196		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A31532196-31530798
